ID,Author,Content Length,Content
558443872187973632,Rehdd,382,<:mvp:503312832360873984> 🐢 **__NA East Turtles__** 🐢 <:mvp:503312832360873984>NL▬▬▬▬▬▬▬▬▬▬▬▬▬▬NL<:battlepass:394979262655889418> ***500+ MembersNL<:battlepass:394979262655889418> Ranking SystemNL<:battlepass:394979262655889418> Turtle Wars with Infinite LivesNL<:battlepass:394979262655889418> Zone Wars with Moving Zones***NL▬▬▬▬▬▬▬▬▬▬▬▬▬▬NL<:alarm:469114977341669426>  ***PM FOR INFO***
558443928144314384,SparkyTheGingyYT,308,Scrim With Storm! NLNL DM Sparky for more info!NL Add VapR Sparky on Epic to join!NLNL<:battlepass:394979262655889418>   Server - NAWNL<:ninja:401482196751482880>  Total players 16NL<:salt:401482196780843008>  Storm is instant killNL🤘 Loadout - Blue pump_Ak_SmgNLMinis_Traps_CampfiresNLNL🏃 HURRY_ AND RESERVE YOUR SPOT!
558444011367563274,andy,22,lf chill 1v1 naw dm me
558444036411752448,WR_TD,107,WiB Clan (Written in Blood) is hosting Scrim Simulations. DM me to join the server for fortnite and discord
558444219669282834,Howl,8,1vs1 naw
558444323239231489,Enocturnal,16,dm for 1v1 (NAW)
558444444274393130,maxxsoblackk,13,nae 1v1 dm me
558444540491726878,NODE_iNcurSion,7,1v1 naw
558444760281382942,Gooseo.,20,1v1 nae add catgabjo
558444942511439873,CJN,10,1v1 NAW dm
558445363833470999,NODE_iNcurSion,31,1v1 naw dm me and add rateerbru
558445424709468181,󠀀daniel craig | the true geordie,6,eu 1v1
558445502987894790,cutie,14,1v1 naw dm_ me
558445606952239114,Genesis,223,Now hosting Zone Wars Lobbies:NLAny Console is WelcomeNL14+ member lobbies 24/7NLReset every 7 matches so that people can joinNLWe play various types of moving storm matches for scrim practice!NLMESSAGE ME ON DISCORD FOR DETAILS
