ID,Author,Content Length,Content
558444737137344532,ٴٴ,892,EPIC GAMERS! NLwe have an annoucement to make!NLNLUnited for Zealous Gaming (UZG) is recruiting and doing tryoutsNLif you are interested message me! (UZG Halcyon)NLNLRequirements:NL⚫️ Have 6+ kd. Im joking_ have a 1+ kdNL⚫️ 50 wins at leastNL⚫️ Be active (spend at least 1 hour a day with the team)NL⚫️ A good team requires good communication_ thereforeNLit is required for you to have a mic and speak understandable english.NLNL⚫️ PC and Console only (few exceptions could be made)NL⚫️ NA-West_ Na-East_ and EuropeNLNL<:battlepass:394979262655889418> Other things you might be interested in:NLwe have a rank system and you will be given a rank based on howNLgood you play on public matches.NLNLWe have the following ranks:NL➤ BronzeNL➤ SilverNL➤ GoldNL➤ Onyx NL➤ DiamondNLNL<:FN:332199960139530240> Finally but not least:NLwe accept not so good players that would love to improve their skils.NLNL"Be Zealous" -UZG Halcyon
558444738227732510,HECTIK32,337,Welcome To REKZ NLWe are a new clan that is looking for players to join NLNLQualifications:NLWins: 50+ NLKills: 1500+ NLK/D: 1+ NLNLRoles Needed: NLEsports Leader NLPro LeaderNLSemi-Pro Leader NLGFX Editor NLLogo Maker NLTryout Leader NLand Players NL15+ with good quality micNLWe would love to have you come tryout for us and show everyone what you got.
558444753683873794,Noaboy461,201,Anyone want to join a top mobile clan? We do scrims a lot and have fun! I am Noaboy461 with 622 wins! Want to come and brag and be a awesome mobile player?! Just dm me now and we can see about you 👋☺️!
558444956197453824,MaddieLové,118,I'm naw and I play on ps4 with 1.3k wins total on my two accounts dm me if you want me to tryout for your clan thanks!
558445587188547595,Doof,1077,Laoch Clan looking for recruitments. You must fit the following requirements. Higher ups can make exceptions if needed. Mainly console clan.NLNL          Casual TeamNL- 125+ wins with a positive kd.NL- Can build double ramp wall or floor wall ramp while rushing.NL- Can communicate well with teammates on mic.NL- Go through basic aim and edit course.NL- NAE or NAW (prefer NAE).NL- 1v1 one of the leaders to see if you’re compatible for this team.NL- Play in a public match with one of the leaders.NLNL          God TeamNL- 400+ wins with a really good kd.NL- Can perform 90°s left and right without mistake.NL- A sense of where the enemy is at all times. (Good headset)NL- Pro communication between teammates.NL- Go through the advanced aim and edit course.NL- NAENL- 1v1 one of the pros to see if you’re compatible for the team.NL- Play in a public match with one of the leaders.NLNL- Console Only btwNLNLRemember you can get exempted if one of these requirements don’t fit you and we think you deserve it. NO toxicity between the players unless y’all are close. Also recruiting editors.NL 100100100
558446182402097152,FirstBornSlayer,1401,WickedSkies is a completely brand new server. We have a lot of big names working on this server. Our aim is to provide the best Skyblock experience_ and dominate the Skyblock game. With that said_ I would love to announce we are going to be giving away $300 PAYPAL ONLY 48 HOURS INTO THE MAP.   SERVER RELEASE 3/1/2019 1 PM PSTNLNLThe top 3 islands within 48 hours of release will getNLNL- #1 $200 PayPalNL- #2 $50 PayPalNL- #3 $50 PayPalNLNLOur server is not only just giving away tons of money_ we actually have very custom features too (hah). Check them outNLNL - Custom CratesNL - Custom Daily/Weekly/Monthly ChallengesNL - Custom Bounty systemNL - Advanced AnticheatNL - Balanced Economy NL - Custom Minions (THEY DO LOTS OF STUFF_ AND HEY_ YOU CAN UPGRADE THEM TOO)NL - Custom Generators (TONS OF GENERATORS)NL - CUSTOM MOB SPAWNER SYSTEMNL - SO MANY UPGRADE OPTIONS ON EVERY ASPECT OF GAMEPLAY.NL - MANY MANY MORE!NL NLIP: Wickedskies.netNLWebsite: www.wickedskies.netNLDiscord: https://discord.me/wickedskiesNLNLThe website/server will not launch until the release date 03/01/2019NL NLWe will also like to celebrate the launch with a $3_500 contest! We will be giving prizes to the top 5 islands at the end of MAY! These will be the rewards:NL NL - #1: $1250 Amazon GC / PAYPALNL - #2: MSI GL63 GAMING LAPTOP (I HAVE IT BRAND NEW_ ASK FOR PICS ;)NL - #3: $500 PaypalNL - #4: $300 Buycraft voucherNL - #5: $300 Buycraft voucher
558446380331302913,ImHydra00,1444,------->┏━◥◣◆◢◤━┓<-------NL                          Team AuRaNL                    ┗╋━━◆━━╋┛NL             NOW RECRUITINGNL               ┗╋━◥◣◆◢◤━╋┛NL           Yes we are backNLWe are a official and competitive team for Fortnite. We separate our teams by pro or junior and by platform. Community Clan Members have opportunity to move up the ranks in the discord.NL+------------------+NLWe have around 100 current and active members. All members trying out for our scrim team must send clips for us to evaluate and epic username. NL+------------------------+NLYou can by pass the requiremtns if you are good enoughNL+--------------------------+NLMinimum for Team RequirementsNL1. Must have a micNL2. Must be 13 years old or upNL3. Around 2+ min. KD RatioNL4. At least 200 wins and upNL5. Around a minimum of 3000 matches playedNL6. Must have past expiernce in a fortnite clans or teamsNL+---------------------------+NLClan Members In The Community require no tryout but still get to participate in events and moreNL+---------------------------+NLYou must be Friendly/Active in the DiscordNLWe are one of the Top Clans to join right now with a very Highly Regarded ReputationNL+--------------------------+NLWhat our discord has to offer?NLWe host weekly clan wars and events!NL+---------------------------+NLPlease feel free to dm the person who sent this to you to see if you are interested.NL+---------------------------+NLCome Check Us Out!NL+---------------------------+
558446640755769344,Itz Zync,751,``` Welcome To RuLe NLNLRequirements:NLNLTeam DiamondNLNLHave a Good MicNLSpeak Fluent EnglishNLMust be 13+NLHave over 75+ winsNLDo excellent in tryoutsNLMust not be ToxicNL(Exceptions can be made)NLNLTeam GoldNLNLHave a Good MicNLSpeak Fluent EnglishNLMust Be 13+NLHave over 50+ winsNLDo Good in tryoutsNLMust not be ToxicNL(Exceptions can be made)NLNLTeam SilverNLHave a Good MicNLSpeak Fluent EnglishNLMust Be 13+NLHave over 25+ winsNLDo OK in tryoutsNLMust not be ToxicNL(Exceptions can be made)NLNLHave a Good MicNLSpeak Fluent EnglishNLMust be 13+NLHave over 10 winsNLDo bad in tryouts NLMust not be ToxicNLNLTeam CasualNLNLHave a Mic NLSpeak Fluent EnglishNLMust Be 13+NLNo Wins RequiredNLNo Tryout RequiredNLMust not be ToxicNLNL*MUST BE ABLE TO USE DISCORD OR GAME CHAT.  DM me for info. ```
558447800224841738,cc lorenzo,125,***CC ARE RECRUITINGNL 13+ NL 1.0+ KDNL FUTURE NAME CHANGENL GFX/VFX ARTISTS NL NEEDEDNL 1 MONTH + SCRIM EXPNLDM ME FOR MORE INFO***
558448156078112768,ExG-bvacc,593,ー Exiege ーNLNLWe are a new Clan that is Recruiting NAW Team Leader and EU Team Leaders. Once we have enough members. We will do SCRIMS etc. Our clan has a team per region. (All Region)NLNLREQUIREMENTS FOR TEAM LEADERSNLNL>Knows how to Manage a TeamNL> Fast at Editing and Building (able to do 90s and stuff)NL> Decent at AimingNL> Active_ Mature and LoyalNL>Not ToxicNL> Good GamesenseNL>Working MicNL>Positive K/DNLNLREQUIREMENTS FOR TEAM MEMBERSNLNL>Requirements for Team Member are same as Requirements for Team Leaders.NLNLWe Hope To Have Fun_ Grow_ Improve_ And Succeed Together.NLNLDM ME IF YOU WANT TO JOIN!
