ID,Author,Content Length,Content
558444500297711618,pdiddy351,36,Pls sub https://youtu.be/dBmYav-AOjk
558445117971759104,DA_BEAST,28,https://youtu.be/Pi6nFJiQ8TQ
558445568360316960,ToV.,43,https://www.youtube.com/watch?v=TXtkmZmfFcQ
558446266649018368,its still me bobby,6,bbvn b
558446369459929120,cookie12332,417,<iframe src="https://player.twitch.tv/?channel=powerofgtimes3" frameborder="0" allowfullscreen="true" scrolling="no" height="378" width="620"></iframe><a href="https://www.twitch.tv/powerofgtimes3?tt_content=text_link&tt_medium=live_embed" style="padding:2px 0px 4px; display:block; width:345px; font-weight:normal; font-size:10px; text-decoration:underline;">Watch live video from powerofgtimes3 on www.twitch.tv</a>
558446406353027103,iNitsua_,49,https://twitch.tv/initsuatv ***SUB BUTTON HYPE***
558447231368298507,LilLucas,55,New LTM??? NLhttps://www.youtube.com/watch?v=4aVWX7CFWgc
558447557056135168,CODE "VRX”,29,https://www.twitch.tv/vrxther
558447623074217987,Genesis,65,HOSTING ZONE WARS WITH FOLLOWERS https://twitch.tv/genesisgaming_
558447965262577675,theGoldcartFlames,43,https://www.youtube.com/watch?v=91c24y40ubo
558448196280647686,Essence geneticzz,44,https://www.youtube.com/watch?v=GQDQdYO3IwA&
558448686426882052,Cameron,46,https://www.youtube.com/watch?v=K-VKgaaeN8w&t=
558449070750957568,KingMarc,28,https://youtu.be/RDAMVpvK7qE
558449917014835210,Alex.,60,https://www.youtube.com/watch?v=A-mlvnDhx_Y&feature=youtu.be
558450127702982656,Crash TSB,70,@here Streaing fornite with my buddy Manoyy https://mixer.com/CrashTSB
558450351137619968,SergusWhite,49,HELICOPTERS UPDATE ! https://youtu.be/-eRvDsWcTd0
558451381300625408,SatexTV,29,https://www.twitch.tv/satextv
558452278827286558,FaDe_Beta,110,https://www.youtube.com/channel/UCU14dO_cw_hZH8KX9Nftgyw?view_as=subscriber (I will post soon_ i need subs rn)
558452316689137684,USE CODE-MakoFaZe,154,https://youtu.be/HpwhvM18ZjI Check out my recent video!! I’m grinding for Venture so it would be greatly appreciated if you shared and dropped a like!! 🔥🔥
558452355834707991,Dr.Paneer Masala,42,https://youtu.be/yzLoVQywXaoNLNEW VIDEO!!!!
558452891199733770,iminyashed,374,░░░░░▄▄▄░░▄██▄░░░ NL░░░░░▐▀█▀▌░░░░▀█▄░░░ NL░░░░░▐█▄█▌░░░░░░▀█▄░░ NL░░░░░░▀▄▀░░░▄▄▄▄▄▀▀░░ NL░░░░▄▄▄██▀▀▀▀░░░░░░░ NL░░░█▀▄▄▄█░▀▀░░ NL░░░▌░▄▄▄▐▌▀▀▀░░ This is BobNL▄░▐░░░▄▄░█░▀▀ ░░ NL▀█▌░░░▄░▀█▀░▀ ░░ Copy And Paste Him In Every Discord Server_ NL░░░░░░░▄▄▐▌▄▄░░░ So_ He Can Take NL░░░░░░░▀███▀█░▄░░ Over DiscordNL░░░░░░▐▌▀▄▀▄▀▐▄░░  (dont spam him tho)NL░░░░░░▐▀░░░░░░▐▌░░ NL░░░░░░█░░░░░░░░█░
558453220440145930,USE CODE POINTT,53,https://twitter.com/Pojntt/status/1108894224861167616
558453275188396064,JustRadiculeYt,28,https://youtu.be/9ewMa7hVquA
558453579854118912,CODE StrafeZP,30,https://www.twitch.tv/strafezp
558453840630775818,PUA_BONG BONG,31,Check out my man fightingarc946
558454189374701578,Huntsteven6,43,https://www.youtube.com/watch?v=IEeUH7lEOAg
558454959679733780,OneTwentyFour,35,https://www.twitch.tv/onetwentyfour
558455585385873419,Saint X Ek,30,https://www.twitch.tv/saintxek
558455803112194062,YT ImLegendaryPlays,34,http://agarvipbots.com/?ref=293088
558455889015603200,miple.,0,
558456257313505300,TV.S9LoGiK,86,Hey @everyone_ S9LoGiK is now live on https://www.twitch.tv/s9logik ! Go check it out!
558456907677827072,(clan malo) veduxxi,17,s t r e t c h e d
558457221692784640,Swequent,28,https://youtu.be/yFaqh8uZ2g8
558457768517042176,ThyFriedChicken,2,Hi
558458239730188289,Reginald,43,https://www.youtube.com/watch?v=zME2_Ta9ghs
558458547772456981,vindicator12,10,yo what up
558458827452841984,USE CODE RIPPER_00,106,If u checked out my vid I will check out urs just dm if u did! https://www.youtube.com/watch?v=0lDLA3HAwlw
558458882943483904,King Brun0,35,https://www.twitch.tv/jpgbarros1999
558458980490543123,SubToKahTheGoat,28,https://youtu.be/Tx52MKI2jmY
558459081736847447,Slice | Blind Jesus,305,hey bro we are a new clan called Slice clan_ we are going to start uploading about 3-4 times a week and we are going to be streaming 3 times a week. if you could please check it out. Here are some of our first vids:NLNLhttps://www.youtube.com/watch?v=kmFJ8jxfICUNLNLhttps://www.youtube.com/watch?v=FZ86VrHKBK8
558461619785564173,BIG_MAD_OWL,86,https://www.instagram.com/p/BvPQH3tFs3U/?utm_source=ig_share_sheet&igshid=pdxivwbiglz7
558462523964391449,cloudzz,68,https://twitter.com/vgcloudzz/status/1108902636424753153?s=21 rt plz
