ID,Author,Channel,Content Length,Content
558107997130457088,Emporium,other-games,134,I never got good enough to play the game without some kind of youtube video or other guide to hold my hand_ but yeah it's a lot of fun
558107998807916549,Pokécord,safari-zone,0,
558108051064881156,Emporium,other-games,66,And I played before career mode_ so there wasn't even that element
558108842483777548,MechSimple,co-op-recruitment,35,e!coop violet-birth martianchickens
558108844912279564,Egg_ Inc. Bot,co-op-recruitment,102,martianchickens (violet-birth)
14/50 Members
558109270298591233,MrNikhan,safari-zone,15,.catch slowking
558109271099965440,Pokécord,safari-zone,70,Congratulations <@221718216920006667>! You caught a level 41 Slowking!
558109963239686175,Dyasher,tips-and-tricks,217,I’ve been working my way through every egg when I prestige_ getting as many upgrades as I can to build my piggy bank before making it to my next egg_ spend a few minutes making out as much as I can before the next egg
558110056680259596,Dyasher,tips-and-tricks,52,Almost put 15k in my piggy bank this afternoon alone
558110346317922305,Dyasher,teach-gabd-to-count,5,36744
558111805306699779,yakeosu,bot-commands,27,e!coop violet-birth gehl123
