ID,Author,Content Length,Content
558116653036994580,BreathingAir,51,Been working on some projects couldn’t enter Fbc rn
558434638398357518,Kool aid Man,10,fbi or fbc
558455572551303169,dawangk,14,hello everyone
558455608945147904,Cromer,25,If you play PE_ friend me
558457724761931810,TheKirbinater,49,Does anyone wanna play or start a pixelmon server
558457788175745064,zwirth2795,4,NEIN
558471293301686293,CultivatingWithCameron,2,:p
558762033294606356,BluKnightMC,178,<@457930292368244764> while the name is short for Fortnightly Build Challenge_ it has nothing to do with the game Fortnite. You can discuss Fortnite over in <#305580569238962186>
558763136136511518,BluKnightMC,277,@Theprogrammers#3756 Theirs always a brief description of what you need to build for the challenge. There's only a few days left (`I'm pretty sure...`) so i recommend wait for the next challenge. But if your wanting to still participate the full details are in Pinned Messages.
558765243413692474,MR.WOLF,26,Hola?alguien abla español?
558765316696571914,RoyalFlameKoster,48,I just read the details... in Pinned Messages...
558800262857490484,Cosmo,25,https://discord.gg/jWVGFj
558809363322634240,Epic_Gamer,1,D
558809447632338957,Procraft236,14,Iron golem bot
558827080138358805,𝕯𝖆𝖗𝖐 𝕬𝖓𝖌𝖊𝖑,5,yo mr
558846732713197568,FRANK,4,hola
558856505336659998,Gordon Ramsay,12,-play peepee
558860564626014218,zwirth2795,28,My submission was not pinned
558860978029068318,The Lurker,0,
558861137114955807,The Lurker,19,Was going to pin it
558861179032961034,The Lurker,30,Did you delete it by yourself?
558861435439022111,The Lurker,71,<@389296228107681796>'s submission: https://m.imgur.com/gallery/1fQkuyg
558861455588327469,The Lurker,0,
558861527814242314,zwirth2795,18,I didn’t delete it
559007528390885407,Retake2,20,damn im stil level 1
559009211649097768,The Lurker,35,9 hours until this fbc session ends
559052228044914709,Onyx,60,Yep definitely not gonna be done. Stupid tooth infection. :/
559056859227750440,AnaghIyer,61,oh heeeeeeeeelllllllllllllllllllllllllllllllllllllll nnoooooo
559056861517840424,Dyno,34,<@549714943906283521> No spamming.
559057182734286859,AnaghIyer,35,I love Minecraft Who agrees with me
560621216218611749,CostBirch243786,26,https://discord.gg/9p8pPS7
560621217292484637,Dyno,38,<@557567122239127552> No invite links.
560622278027509761,CostBirch243786,26,https://discord.gg/9p8pPS7
560622278673694780,Dyno,38,<@557567122239127552> No invite links.
560639641640763410,Boden,22,Looks exactly the same
560642613338701824,BreathingAir,14,He said before
560642846240014337,BreathingAir,52,Strangely enough still hasn’t posted the after image
